directory,description,topics,source_url,source_type,last_updated
openai-codex,OpenAI Codex CLI - terminal coding agent source and docs (see indexes/openai-codex.csv),codex;openai;cli;agent;skills;config;rust,https://github.com/openai/codex,official-tool-repo,2026-08-02
github-copilot-cli,GitHub Copilot CLI - terminal agent install scripts and changelog (see indexes/github-copilot-cli.csv),copilot;github;cli;agent;skills;install,https://github.com/github/copilot-cli,official-tool-repo,2026-08-02
aider-ai,Aider AI pair programming CLI - source and docs (see indexes/aider-ai.csv),aider;cli;agent;config;agnostic;python,https://github.com/Aider-AI/aider,official-tool-repo,2026-08-03
aaif-goose,AAIF Goose open-source AI agent CLI and desktop (see indexes/aaif-goose.csv),goose;cli;agent;skills;config;rust;agnostic,https://github.com/aaif-goose/goose,official-tool-repo,2026-08-03
augmentcode-auggie,Augment Auggie CLI public repo docs and plugin marketplace (see indexes/augmentcode-auggie.csv),augment;auggie;cli;agent;skills;config,https://github.com/augmentcode/auggie,official-tool-repo,2026-08-03
cline-cline,Cline open-source AI coding agent monorepo CLI and SDK (see indexes/cline-cline.csv),cline;cli;agent;skills;config;sdk,https://github.com/cline/cline,official-tool-repo,2026-08-03
hmbown-codewhale,Codewhale terminal coding agent (ex DeepSeek TUI) source and docs (see indexes/hmbown-codewhale.csv),codewhale;deepseek-tui;cli;agent;skills;config;rust;agnostic,https://github.com/Hmbown/CodeWhale,official-tool-repo,2026-08-03
google-antigravity-cli,Google Antigravity CLI (agy) public docs changelog and examples - no full agent source in-tree (see indexes/google-antigravity-cli.csv),agy;antigravity;cli;agent;google,https://github.com/google-antigravity/antigravity-cli,official-tool-repo,2026-08-03
anthropics-claude-code,Anthropic Claude Code public install docs examples plugins (see indexes/anthropics-claude-code.csv),claude-code;cli;agent;anthropic;skills;config,https://github.com/anthropics/claude-code,official-tool-repo,2026-08-03
anomalyco-opencode,OpenCode open-source provider-agnostic coding agent monorepo (see indexes/anomalyco-opencode.csv),opencode;cli;agent;skills;config;agnostic;typescript,https://github.com/anomalyco/opencode,official-tool-repo,2026-08-03
xai-org-grok-build,xAI Grok Build (grok) coding agent CLI TUI source (see indexes/xai-org-grok-build.csv),grok;cli;agent;skills;config;rust;xai,https://github.com/xai-org/grok-build,official-tool-repo,2026-08-03
kirodotdev-kiro,Kiro product repo docs and issue tracker - Kiro CLI itself is closed source (see indexes/kirodotdev-kiro.csv),kiro;cli;ide;docs,https://github.com/kirodotdev/Kiro,official-tool-repo,2026-08-03
aws-amazon-q-developer-cli,Amazon Q Developer CLI open-source predecessor of closed-source Kiro CLI path constants (see indexes/aws-amazon-q-developer-cli.csv),amazon-q;kiro;cli;predecessor;config;paths;rust,https://github.com/aws/amazon-q-developer-cli,official-tool-repo,2026-08-03
